2018-08-22 09:30:12,163 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-08-22 09:31:07,070 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjetoBiblioteca:ProjetoBiblioteca:0.0.1-SNAPSHOT @ C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\pom.xml.
2018-08-22 09:31:07,073 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjetoBiblioteca:ProjetoBiblioteca:0.0.1-SNAPSHOT @ C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\pom.xml.
2018-08-22 09:31:08,191 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-22 09:31:08,192 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\src\main\resources
2018-08-22 09:31:08,194 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-22 09:31:08,195 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\src\test\resources
2018-08-22 09:31:09,644 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjetoBiblioteca:ProjetoBiblioteca:0.0.1-SNAPSHOT @ C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\pom.xml.
2018-08-22 09:31:09,880 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-22 09:31:09,884 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\src\main\resources
2018-08-22 09:31:09,885 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-22 09:31:09,886 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\src\test\resources
2018-08-22 09:31:11,136 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-22 09:31:11,136 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\src\main\resources
2018-08-22 09:31:11,138 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-22 09:31:11,138 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\20151074010433\Downloads\MeuDeusAjudaNesseProjeto\MeuDeusAjudaNesseProjeto\ProjetoBiblioteca\src\test\resources
2018-08-22 09:31:35,689 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
